"S.No.","Name","CMP Rs.","P/E","Mar Cap Rs.Cr.","Div Yld %","NP Qtr Rs.Cr.","Qtr Profit Var %","Sales Qtr Rs.Cr.","Qtr Sales Var %","ROCE %","Prom. Hold. %","Payout ratio %","CMP / BV","Ind PBV","Debt / Eq","ROE %","EPS 12M Rs.","ROE 3Yr %","ROCE 3Yr %"
"217.","Aeroflex","222.30","59.97","2941.69","0.13","16.49","8.42","120.89","21.13","22.34","65.47","7.39","7.99","1.76","0.03","16.57","3.80","20.41","27.54"
"218.","Unimech Aero.","766.05","58.71","3895.89","0.00","2.39","-84.65","33.72","-37.44","22.22","79.82","0.00","5.56","6.97","0.16","19.91","13.05","31.29","49.90"
"219.","CFF Fluid","553.00","40.12","1159.84","0.19","19.13","36.16","104.13","30.11","22.13","68.06","8.16","4.70","6.97","0.02","17.42","14.15","22.00","26.83"
"220.","Pearl Global Ind","1403.90","24.85","6478.47","0.83","51.52","-4.76","1170.18","14.44","22.11","61.24","21.27","5.02","2.45","0.58","24.31","57.12","22.90","20.91"
"221.","AGI Infra","292.40","43.60","3654.97","0.03","26.11","36.92","87.50","-4.28","22.03","71.29","1.83","10.65","2.28","0.42","25.66","6.87","27.44","25.80"
"222.","Elgi Equipments","474.80","36.22","15046.93","0.46","95.20","31.40","1003.40","18.38","21.91","31.19","19.91","7.55","5.78","0.26","20.06","12.75","21.25","22.88"
"223.","Shukra Pharma.","35.63","53.47","1560.12","0.03","20.36","544.30","39.13","269.85","21.80","50.96","4.57","23.71","3.02","0.06","15.90","0.67","26.55","28.30"
"224.","Kross Ltd","161.05","20.75","1038.92","0.00","13.98","2.79","177.48","18.28","21.72","68.38","0.00","2.32","2.91","0.13","16.51","7.74","24.65","28.71"
"225.","Gravita India","1309.50","25.28","9665.20","0.45","97.49","25.33","1017.07","2.07","21.50","55.88","15.00","4.33","2.20","0.20","21.17","51.76","28.36","27.00"
"226.","Bajaj Steel Inds","358.40","14.16","745.51","0.27","5.91","-56.89","125.27","-9.26","21.29","56.62","2.47","1.79","3.18","0.12","17.87","25.31","20.32","25.29"
"227.","Bombay Super Hyb","76.49","30.31","802.67","0.00","7.74","-14.00","107.48","-15.94","21.16","73.85","0.00","6.72","2.31","0.25","28.81","2.52","31.61","22.40"
"228.","Creative Newtech","584.70","13.24","878.04","0.09","23.37","36.91","914.00","38.68","21.13","56.62","1.63","2.71","2.32","0.39","18.13","44.10","22.04","23.76"
"229.","Narayana Hrudaya","1627.00","40.25","33249.51","0.27","126.79","-12.82","2151.17","61.19","20.75","63.27","11.64","8.19","5.73","0.58","24.22","38.12","28.72","26.25"
"230.","TCPL Packaging","2205.00","16.85","2006.55","1.33","24.95","-14.84","452.92","-1.02","20.03","55.74","19.32","2.98","1.62","0.97","23.84","122.32","23.38","20.59"
"231.","GNG Electronics","380.00","41.38","4332.45","0.00","38.69","102.78","487.22","40.26","19.84","78.71","0.00","6.56","2.96","0.32","35.33","9.68","36.00","20.96"
"232.","Varun Beverages","382.00","43.99","129196.04","0.25","260.01","35.99","4204.42","13.98","19.71","59.44","16.71","6.72","6.93","0.13","16.21","8.98","21.47","24.47"
"233.","Aditya Infotech","1640.30","76.08","19322.44","0.00","95.98","138.82","1139.11","37.32","19.49","76.91","0.00","12.10","3.18","0.08","20.87","22.13","28.48","25.12"
"234.","Gem Aromatics","163.05","28.83","851.74","0.00","-4.99","-166.89","78.90","-18.53","19.43","55.06","0.00","1.86","2.41","0.32","20.73","6.47","23.84","22.99"
"235.","Metro Brands","899.30","62.98","24510.12","0.59","130.37","35.71","811.27","15.39","19.42","71.83","155.30","13.46","3.23","0.79","19.01","14.29","22.66","21.17"
"236.","P N Gadgil Jewe.","550.70","19.43","7473.48","0.00","170.91","101.55","3302.61","35.59","19.41","83.11","0.00","4.32","2.86","0.76","20.97","28.12","25.69","24.40"
